album,name_count,popularity_mean,popularity_max,duration_ms_mean
Sticky Fingers (Remastered),10,53.3,69,277522.3
Some Girls,10,48.1,72,244433.0
Tattoo You (2009 Re-Mastered),11,46.45454545454545,76,241796.0
Exile On Main Street (2010 Re-Mastered),18,44.166666666666664,63,223714.44444444444
Beggars Banquet (50th Anniversary Edition),10,43.7,73,238868.9
Aftermath,11,43.09090909090909,80,233951.0909090909
Goats Head Soup (Remastered 2009),10,40.3,71,280599.6
Out Of Our Heads,12,39.583333333333336,76,167289.58333333334
Black And Blue (Remastered 2009),8,38.5,53,310198.125
Let It Bleed (50th Anniversary Edition / Remastered 2019),9,38.333333333333336,49,282564.0
Emotional Rescue (2009 Re-Mastered),10,35.5,55,247570.3
Blue & Lonesome,12,34.916666666666664,43,213519.58333333334
The Rolling Stones,12,34.166666666666664,51,164709.66666666666
Voodoo Lounge (Remastered 2009),15,34.0,53,247126.73333333334
Let It Bleed,18,33.27777777777778,76,282410.05555555556
Bridges To Babylon (Remastered),13,32.92307692307692,61,287945.23076923075
It's Only Rock 'N' Roll (2009 Re-Mastered),10,32.7,55,290630.3
12 X 5,12,32.083333333333336,44,160924.08333333334
Steel Wheels (Remastered 2009),12,31.5,45,265040.75
Exile On Main Street (Deluxe Version),28,29.964285714285715,50,231915.75
December’s Children (And Everybody’s),12,28.75,56,144511.91666666666
Sticky Fingers (Deluxe),20,28.65,50,300899.75
Licked Live In NYC,23,28.608695652173914,34,336709.7826086957
The Rolling Stones No. 2,12,28.166666666666668,45,184059.58333333334
Live At The El Mocambo,23,27.26086956521739,32,280368.8695652174
A Bigger Bang (2009 Re-Mastered),16,27.0625,45,240981.375
It's Only Rock 'N' Roll,10,26.8,38,290639.6
Honk (Deluxe),47,26.21276595744681,49,256579.63829787233
Their Satanic Majesties Request (50th Anniversary Special Edition / Remastered),20,26.1,45,265234.4
Get Yer Ya-Ya's Out! (Remastered),10,25.9,31,286391.6
Undercover (2009 Re-Mastered),10,25.1,42,269855.7
Havana Moon (Live),18,24.72222222222222,30,397969.1111111111
"The Rolling Stones, Now!",12,24.25,45,178751.83333333334
Goats Head Soup (Deluxe),37,24.08108108108108,42,280838.2162162162
Dirty Work (Remastered 2009),11,23.09090909090909,49,217028.54545454544
Totally Stripped (Live),14,22.928571428571427,34,338135.78571428574
Jamming With Edward,6,22.166666666666668,35,362567.6666666667
Get Yer Ya-Ya's Out! The Rolling Stones In Concert (40th Anniversary Edition),27,22.037037037037038,37,241151.77777777778
Tattoo You (Super Deluxe),46,21.91304347826087,39,271034.3695652174
Black And Blue,8,21.875,28,308854.75
Ladies & Gentlemen (Live),16,21.4375,26,287088.0625
Bridges To Babylon,13,20.923076923076923,48,287726.8461538461
Love You Live (Remastered 2009),18,20.666666666666668,24,277229.27777777775
Still Life,12,20.416666666666668,31,200705.16666666666
Goats Head Soup,10,20.4,44,281223.7
Some Girls: Live In Texas '78,17,20.235294117647058,31,282277.17647058825
Sticky Fingers (Super Deluxe),33,20.09090909090909,31,305615.8787878788
Flowers,24,19.916666666666668,41,185430.75
Bridges To Buenos Aires (Live),22,19.681818181818183,25,343370.54545454547
Between The Buttons (UK Version),12,19.583333333333332,36,192187.41666666666
Steel Wheels Live,27,19.51851851851852,26,335888.51851851854
England’s Newest Hitmakers,12,19.416666666666668,41,155779.5
Some Girls (Deluxe Version),44,19.363636363636363,46,224297.22727272726
Stripped,28,19.214285714285715,43,255288.75
Sticky Fingers Live At The Fonda Theatre,16,19.0,24,298485.4375
Out Of Our Heads (UK),12,18.25,30,147878.58333333334
Emotional Rescue,10,18.2,27,247166.3
A Bigger Bang (Live),22,18.181818181818183,24,310597.8181818182
Tattoo You,22,18.136363636363637,34,242134.72727272726
Bridges To Bremen (Live),22,18.0,24,379935.9090909091
Undercover,10,18.0,34,269565.0
On Air (Deluxe),32,17.90625,41,157653.40625
Dirty Work,11,17.181818181818183,28,217028.54545454544
Between The Buttons,24,16.708333333333332,63,192291.33333333334
From The Vault: No Security - San Jose 1999 (Live),20,16.05,20,331551.7
Flashpoint,34,15.941176470588236,34,269863.5588235294
Steel Wheels,12,15.583333333333334,26,264904.25
Aftermath (UK Version),28,15.428571428571429,52,228031.17857142858
got LIVE if you want it!,12,15.333333333333334,21,165751.91666666666
Live Licks,46,15.08695652173913,37,285204.5
Live At The Checkerboard Lounge,32,15.0625,37,360578.84375
Totally Stripped - Amsterdam (Live),20,14.0,25,275781.75
Live 1965: Music From Charlie Is My Darling (Live From England/1965),13,13.846153846153847,19,128764.92307692308
Beggars Banquet,10,13.3,45,237882.3
Totally Stripped - Brixton (Live),22,12.863636363636363,19,314235.5
Voodoo Lounge Uncut (Live),56,11.678571428571429,21,314910.39285714284
Totally Stripped - Paris (Live),22,10.909090909090908,13,356845.7727272727
Out Of Our Heads (US Sequence),12,8.416666666666666,45,167324.0
Their Satanic Majesties Request,10,7.4,20,264633.0
Love You Live (Remastered),18,6.722222222222222,11,277376.6666666667
Get Yer Ya Yas Out,10,5.6,9,286246.2
Exile On Main Street (Bonus Track Version),29,5.310344827586207,12,232535.6551724138
Between The Buttons (US track listing),12,5.25,24,192466.25
12 x 5,12,5.0,10,160966.33333333334
December's Children (and everybody's),12,4.833333333333333,21,144538.58333333334
On Air,18,3.7222222222222223,6,163558.88888888888
Now!,12,3.6666666666666665,13,178697.33333333334
Out Of Our Heads (UK Sequence),12,2.5833333333333335,6,146956.41666666666
Got Live if you want it!,12,0.6666666666666666,2,165752.0
England's Newest Hit Makers,12,0.5833333333333334,3,155802.91666666666
